"method","beta","lb","ub","tau","name","dithering"
"rnid",0.0291236273435508,-0.418260396768436,0.879115897336649,0.5,"sum.pcb.t1.res","Yes"
"xy",0.0291236273435508,-0.707829087391187,0.766076342078289,0.5,"sum.pcb.t1.res","Yes"
"wild",0.0291236273435508,-0.721321047922624,0.779568302609726,0.5,"sum.pcb.t1.res","Yes"
"pbs",0.0291236273435508,-0.450000901991514,0.949287495714485,0.5,"sum.pcb.t1.res","Yes"
"nid",0.100823196601714,-0.68231203822927,0.883958431432697,0.7,"sum.pcb.t1.res","Yes"
"riid",0.100823196601714,-0.372685891777932,0.894880576044091,0.7,"sum.pcb.t1.res","Yes"
"rnid",0.100823196601714,-0.372761073322951,0.895325276426189,0.7,"sum.pcb.t1.res","Yes"
"xy",0.100823196601714,-0.70374686868997,0.905393261893397,0.7,"sum.pcb.t1.res","Yes"
"wild",0.100823196601714,-0.691312698046642,0.89295909125007,0.7,"sum.pcb.t1.res","Yes"
"pbs",0.100823196601714,-0.63881691989994,0.895101406327845,0.7,"sum.pcb.t1.res","Yes"
"nid",-0.390361418022838,-1.33321170176394,0.552488865718267,0.9,"sum.pcb.t1.res","Yes"
"riid",-0.390361418022838,-1.00526656574561,0.67206336722193,0.9,"sum.pcb.t1.res","Yes"
"rnid",-0.390361418022838,-1.00545566261394,0.672388511143719,0.9,"sum.pcb.t1.res","Yes"
"xy",-0.390361418022838,-1.31943442400696,0.538711587961287,0.9,"sum.pcb.t1.res","Yes"
"wild",-0.390361418022838,-1.12031581540619,0.339592979360518,0.9,"sum.pcb.t1.res","Yes"
"pbs",-0.390361418022838,-1.14045893956375,0.740768333545562,0.9,"sum.pcb.t1.res","Yes"
"nid",-2.24093451751513e-16,-0.537693022702685,0.537693022702684,0.1,"arsenic.t1.res","No"
"riid",-2.24093451751513e-16,-1.06469099980016,0.548203751932585,0.1,"arsenic.t1.res","No"
"rnid",-2.24093451751513e-16,-1.06508345255891,0.548214640860948,0.1,"arsenic.t1.res","No"
"xy",-2.24093451751513e-16,-0.829400614336146,0.829400614336145,0.1,"arsenic.t1.res","No"
"wild",-2.24093451751513e-16,-0.584035198437985,0.584035198437985,0.1,"arsenic.t1.res","No"
"pbs",-2.24093451751513e-16,-1.13954579457928,0.497853987326448,0.1,"arsenic.t1.res","No"
"bayes",-0.203317451175213,-0.714529375847292,0.253202300379196,0.1,"arsenic.t1.res","No"
"bayes_adj_v2",-0.204255007599017,-1.02631939557706,0.617809380379024,0.1,"arsenic.t1.res","No"
"nid",-1.070348039163e-15,-0.42580632955947,0.425806329559468,0.3,"arsenic.t1.res","No"
"riid",-1.070348039163e-15,-0.801698164594475,0.391049542582459,0.3,"arsenic.t1.res","No"
"rnid",-1.070348039163e-15,-0.801807359382546,0.391185949558105,0.3,"arsenic.t1.res","No"
"xy",-1.070348039163e-15,-0.54448275843743,0.544482758437428,0.3,"arsenic.t1.res","No"
"wild",-1.070348039163e-15,-0.411241010860765,0.411241010860763,0.3,"arsenic.t1.res","No"
